,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
42,0.0,0.0,0.0,0.0,0.004,0.022,0.063,0.083,0.047,0.012,0.002,0.0,0.0,0.0,0.002,0.009,0.035,0.066,0.066,0.036,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.007,0.01,0.012,0.022,0.02,1.0,0.024,0.016,0.017,0.012,0.019,0.019,0.03,0.008,0.014,0.016,0.017,0.019,0.014
43,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.051,0.072,0.037,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.033,0.077,0.074,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.011,0.017,0.021,0.037,0.033,0.024,1.0,0.026,0.028,0.02,0.032,0.032,0.032,0.015,0.023,0.026,0.029,0.033,0.023
44,0.004,0.013,0.03,0.018,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.008,0.021,0.054,0.042,0.017,0.004,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.013,0.024,0.021,0.016,0.026,1.0,0.018,0.013,0.021,0.021,0.021,0.008,0.018,0.017,0.018,0.021,0.015
45,0.002,0.008,0.033,0.041,0.026,0.007,0.001,0.0,0.0,0.0,0.0,0.002,0.008,0.037,0.056,0.046,0.022,0.006,0.001,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.008,0.017,0.014,0.025,0.023,0.017,0.028,0.018,1.0,0.014,0.022,0.022,0.022,0.009,0.016,0.022,0.02,0.023,0.016
46,0.0,0.001,0.016,0.041,0.052,0.032,0.009,0.001,0.0,0.0,0.0,0.0,0.001,0.013,0.037,0.059,0.05,0.023,0.007,0.001,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.006,0.009,0.016,0.018,0.016,0.012,0.02,0.013,0.014,1.0,0.016,0.016,0.016,0.006,0.012,0.013,0.016,0.016,0.011
47,0.0,0.0,0.002,0.013,0.044,0.066,0.039,0.01,0.001,0.0,0.0,0.0,0.0,0.002,0.009,0.029,0.059,0.056,0.024,0.006,0.001,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.009,0.013,0.016,0.032,0.026,0.019,0.032,0.021,0.022,0.016,1.0,0.025,0.025,0.01,0.018,0.021,0.022,0.027,0.018
48,0.0,0.0,0.0,0.001,0.009,0.04,0.074,0.048,0.01,0.001,0.0,0.0,0.0,0.001,0.002,0.006,0.02,0.052,0.059,0.024,0.007,0.001,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.009,0.013,0.016,0.029,0.032,0.019,0.032,0.021,0.022,0.016,0.025,1.0,0.025,0.01,0.018,0.021,0.022,0.026,0.018
49,0.0,0.0,0.0,0.0,0.0,0.004,0.029,0.079,0.078,0.03,0.006,0.0,0.0,0.0,0.001,0.002,0.005,0.014,0.044,0.065,0.039,0.013,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.009,0.014,0.016,0.029,0.026,0.03,0.032,0.021,0.022,0.016,0.025,0.025,1.0,0.01,0.018,0.021,0.023,0.026,0.018
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.056,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.011,0.027,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.005,0.007,0.012,0.011,0.008,0.015,0.008,0.009,0.006,0.01,0.01,0.01,1.0,0.007,0.008,0.009,0.01,0.007
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.022,0.018,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0.012,0.021,0.019,0.014,0.023,0.018,0.016,0.012,0.018,0.018,0.018,0.007,1.0,0.015,0.016,0.019,0.013
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.017,0.024,0.022,0.012,0.004,0.001,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.007,0.014,0.013,0.024,0.021,0.016,0.026,0.017,0.022,0.013,0.021,0.021,0.021,0.008,0.015,1.0,0.018,0.021,0.015
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.016,0.027,0.025,0.014,0.005,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.008,0.012,0.017,0.026,0.023,0.017,0.029,0.018,0.02,0.016,0.022,0.022,0.023,0.009,0.016,0.018,1.0,0.023,0.016
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.012,0.026,0.028,0.015,0.005,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.009,0.014,0.017,0.031,0.027,0.019,0.033,0.021,0.023,0.016,0.027,0.026,0.026,0.01,0.019,0.021,0.023,1.0,0.019
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.024,0.028,0.015,0.005,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.006,0.01,0.012,0.021,0.019,0.014,0.023,0.015,0.016,0.011,0.018,0.018,0.018,0.007,0.013,0.015,0.016,0.019,1.0
