#: table_doi: 10.17182/hepdata.78403.v1/t18
#: name: Table 18
#: description: Correlation matrix obtained from the fit combining the ATLAS and CMS data using the generic parameterisation with 23 parameters, $\sigma_i\cdot\mathrm{B}^f$ for each specific channel $i\to H\to f$. Only 20 parameters are shown because the other three, corresponding to the $H\to ZZ$ decay channel for the $WH$, $ZH$, and $ttH$ production processes, are not measured with a meaningful precision.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> HIGGS X
#: keyword observables: CORRELATION
#: keyword phrases: 
#: keyword cmenergies: 7000.0-8000.0
#: SQRT(S) [GEV],7000.0 TO 8000.0
$\sigma_i\cdot\mathrm{B}^f$,$\sigma_j\cdot\mathrm{B}^k$,Correlation
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.010
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,1
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.011
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.008
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.009
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.371
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.032
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.247
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.012
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.211
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,0.008
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.254
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.006
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.008
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.011
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,1
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.023
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.015
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.016
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.002
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.009
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.005
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.001
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,-0.008
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,-0.263
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.008
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.023
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,1
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.019
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.018
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,-0.001
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,-0.005
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,-0.001
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,-0.003
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.045
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.011
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$ ,0.008
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,-0.003
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,-0.008
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,-0.163
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.009
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.015
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.019
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,1
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.025
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,-0.001
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,-0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.004
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$ ,-0.015
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.004
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.005
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.004
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.371
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.016
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.018
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.025
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,1
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.011
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.049
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.040
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.015
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.030
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
