,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),0.21882890340205
101,140.712472794703,0.0515,205,0.494647244987513,0.029282691133159,1.5,2.5,0.488542050123215,
102,140.712472794703,0.0515,325,0.493516697214127,0.038579787454054,1.5,2.5,0.496950924396515,
103,140.712472794703,0.0515,515,0.504863974899318,0.054707403520913,1.5,2.5,0.504639685153961,
104,140.712472794703,0.0815,3.25,0.340651338194211,0.00395284707521,2.5,2.5,0.360374867916107,
105,140.712472794703,0.0815,5.15,0.371665281550255,0.004806662043456,2.5,2.5,0.370713353157043,
106,140.712472794703,0.0815,8.15,0.382892402584676,0.005945082001117,2.5,2.5,0.380200624465942,
107,140.712472794703,0.0815,12.9,0.40516947677685,0.007399729724794,2.5,2.5,0.388673007488251,
108,140.712472794703,0.0815,20.5,0.401229048182467,0.00920222799109,1.5,2.5,0.396512299776077,
109,140.712472794703,0.0815,32.5,0.405017811904779,0.011573936236216,1.5,2.5,0.403300404548645,
110,140.712472794703,0.0815,51.5,0.409608994320002,0.014609722789978,1.5,2.5,0.4091457426548,
111,140.712472794703,0.0815,81.5,0.416828154192037,0.018625815418392,1.5,2.5,0.41405200958252,
112,140.712472794703,0.0815,129,0.418684616558092,0.023558968568255,1.5,2.5,0.418282091617584,
113,140.712472794703,0.0815,205,0.425397005001666,0.030642470527032,1.5,2.5,0.422022849321365,
114,140.712472794703,0.0815,325,0.422716330900994,0.039212242986088,1.5,2.5,0.425993323326111,
115,140.712472794703,0.0815,515,0.435951695901118,0.052493809158795,1.5,2.5,0.431131720542908,
116,140.712472794703,0.0815,815,0.454673878522469,0.071467475119805,1.5,2.5,0.439771205186844,
117,140.712472794703,0.129,5.15,0.36157271460019,0.004964775926464,2.5,2.5,0.363838583230972,
118,140.712472794703,0.129,8.15,0.372836542443292,0.006134818660727,2.5,2.5,0.365728080272675,
119,140.712472794703,0.129,12.9,0.367233661585838,0.007715957490811,2.5,2.5,0.366943776607513,
120,140.712472794703,0.129,20.5,0.367380322630365,0.009708192416717,2.5,2.5,0.367556571960449,
121,140.712472794703,0.129,32.5,0.36908305743323,0.012143146215047,1.5,2.5,0.367782711982727,
122,140.712472794703,0.129,51.5,0.367167858511378,0.015337046651817,1.5,2.5,0.36759215593338,
123,140.712472794703,0.129,81.5,0.357802324996127,0.019511253163239,1.5,2.5,0.367029786109924,
124,140.712472794703,0.129,129,0.374787943715773,0.02479225685572,1.5,2.5,0.366217076778412,
125,140.712472794703,0.129,205,0.368337964789044,0.032255232133718,1.5,2.5,0.365325748920441,
126,140.712472794703,0.129,325,0.371779907396867,0.041425837348206,1.5,2.5,0.364882737398148,
