coalition_labels,size,chi2,is_outlier
sbar|u,2,0.00393465,0
dbar|d|s,3,0.00391658,0
g|d|c,3,0.00387494,0
d|u,2,0.00378310,0
g|u|s,3,0.00376615,0
cbar|g|u,3,0.00375913,0
sbar|ubar|g,3,0.00373930,0
g|d,2,0.00366639,0
dbar|g|s,3,0.00365173,0
cbar|s|c,3,0.00363992,0
ubar|u,2,0.00363310,0
dbar|d|c,3,0.00362319,0
cbar|ubar,2,0.00359577,0
ubar|g|c,3,0.00358903,0
cbar|sbar|d,3,0.00357114,0
sbar|g|d|c,4,0.00349398,0
cbar|g|s,3,0.00342035,0
dbar|g|d,3,0.00331830,0
cbar|dbar|s,3,0.00327167,0
cbar|sbar|g|s,4,0.00324652,0
cbar|dbar|d,3,0.00318434,0
cbar|sbar|c,3,0.00314948,0
d|c,2,0.00311330,0
u|c,2,0.00307547,0
sbar|g|c,3,0.00301206,0
sbar|g|s|c,4,0.00298048,0
d,1,0.00297980,0
ubar|g,2,0.00280135,0
u|s,2,0.00279376,0
sbar|d|c,3,0.00272526,0
cbar|s,2,0.00270829,0
dbar|s,2,0.00265545,0
g|u,2,0.00265262,0
sbar|g|d,3,0.00262707,0
cbar|u,2,0.00262386,0
sbar|ubar,2,0.00258087,0
cbar|sbar|s,3,0.00252738,0
cbar|g|c,3,0.00250878,0
g|s|c,3,0.00249416,0
cbar|sbar|g,3,0.00247526,0
dbar|d,2,0.00236723,0
ubar|c,2,0.00236252,0
sbar|s|c,3,0.00216654,0
sbar|c,2,0.00201556,0
g|s,2,0.00200045,0
sbar|d,2,0.00193338,0
sbar|g,2,0.00187413,0
sbar|g|s,3,0.00182815,0
s|c,2,0.00168728,0
ubar,1,0.00165001,0
cbar|sbar,2,0.00157355,0
cbar|c,2,0.00153906,0
cbar|g,2,0.00151662,0
u,1,0.00149771,0
g|c,2,0.00139332,0
s,1,0.00126860,0
sbar|s,2,0.00108922,0
sbar,1,0.00095266,0
g,1,0.00091438,0
cbar,1,0.00062200,0
c,1,0.00040390,0
,0,0.00000000,0
