#: table_doi: 10.17182/hepdata.80076.v1/t9
#: name: Table 9
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data9.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$\rho^{W^+}(H_\text{T})$
625.0,600.0,650.0,2050.0,1600.0,2500.0,-5.8e-05
675.0,650.0,700.0,75.0,50.0,100.0,-5e-06
675.0,650.0,700.0,125.0,100.0,150.0,2e-06
675.0,650.0,700.0,175.0,150.0,200.0,-6e-06
675.0,650.0,700.0,225.0,200.0,250.0,-8e-06
675.0,650.0,700.0,275.0,250.0,300.0,2.4e-05
675.0,650.0,700.0,325.0,300.0,350.0,-1.9e-05
675.0,650.0,700.0,375.0,350.0,400.0,0.000662
675.0,650.0,700.0,425.0,400.0,450.0,-0.001113
675.0,650.0,700.0,475.0,450.0,500.0,-0.020523
675.0,650.0,700.0,525.0,500.0,550.0,-0.085094
675.0,650.0,700.0,575.0,550.0,600.0,-0.04068
675.0,650.0,700.0,625.0,600.0,650.0,0.508518
675.0,650.0,700.0,675.0,650.0,700.0,1.0
675.0,650.0,700.0,750.0,700.0,800.0,0.340715
675.0,650.0,700.0,850.0,800.0,900.0,-0.110254
675.0,650.0,700.0,950.0,900.0,1000.0,-0.024018
675.0,650.0,700.0,1050.0,1000.0,1100.0,0.000336
675.0,650.0,700.0,1150.0,1100.0,1200.0,0.00045
675.0,650.0,700.0,1300.0,1200.0,1400.0,5.5e-05
675.0,650.0,700.0,1500.0,1400.0,1600.0,6e-06
675.0,650.0,700.0,2050.0,1600.0,2500.0,-1.3e-05
750.0,700.0,800.0,75.0,50.0,100.0,-0.0
750.0,700.0,800.0,125.0,100.0,150.0,-1e-06
750.0,700.0,800.0,175.0,150.0,200.0,-2e-06
750.0,700.0,800.0,225.0,200.0,250.0,-1.6e-05
750.0,700.0,800.0,275.0,250.0,300.0,3e-06
750.0,700.0,800.0,325.0,300.0,350.0,-8e-06
750.0,700.0,800.0,375.0,350.0,400.0,9.9e-05
750.0,700.0,800.0,425.0,400.0,450.0,0.000235
750.0,700.0,800.0,475.0,450.0,500.0,-0.00063
750.0,700.0,800.0,525.0,500.0,550.0,-0.018571
750.0,700.0,800.0,575.0,550.0,600.0,-0.075283
750.0,700.0,800.0,625.0,600.0,650.0,-0.079182
750.0,700.0,800.0,675.0,650.0,700.0,0.340715
750.0,700.0,800.0,750.0,700.0,800.0,1.0
750.0,700.0,800.0,850.0,800.0,900.0,0.140292
750.0,700.0,800.0,950.0,900.0,1000.0,-0.083751
750.0,700.0,800.0,1050.0,1000.0,1100.0,-0.018405
750.0,700.0,800.0,1150.0,1100.0,1200.0,4.4e-05
750.0,700.0,800.0,1300.0,1200.0,1400.0,0.0003
750.0,700.0,800.0,1500.0,1400.0,1600.0,4e-05
750.0,700.0,800.0,2050.0,1600.0,2500.0,2e-06
850.0,800.0,900.0,75.0,50.0,100.0,0.0
850.0,800.0,900.0,125.0,100.0,150.0,-0.0
850.0,800.0,900.0,175.0,150.0,200.0,-1e-06
850.0,800.0,900.0,225.0,200.0,250.0,-1.2e-05
850.0,800.0,900.0,275.0,250.0,300.0,1.6e-05
850.0,800.0,900.0,325.0,300.0,350.0,-5.2e-05
850.0,800.0,900.0,375.0,350.0,400.0,-2.6e-05
850.0,800.0,900.0,425.0,400.0,450.0,0.000168
850.0,800.0,900.0,475.0,450.0,500.0,0.000247
850.0,800.0,900.0,525.0,500.0,550.0,0.000172
850.0,800.0,900.0,575.0,550.0,600.0,-0.007042
850.0,800.0,900.0,625.0,600.0,650.0,-0.043315
850.0,800.0,900.0,675.0,650.0,700.0,-0.110254
850.0,800.0,900.0,750.0,700.0,800.0,0.140292
850.0,800.0,900.0,850.0,800.0,900.0,1.0
850.0,800.0,900.0,950.0,900.0,1000.0,0.162487
850.0,800.0,900.0,1050.0,1000.0,1100.0,-0.090118
850.0,800.0,900.0,1150.0,1100.0,1200.0,-0.023181
850.0,800.0,900.0,1300.0,1200.0,1400.0,0.000318
850.0,800.0,900.0,1500.0,1400.0,1600.0,0.000263
850.0,800.0,900.0,2050.0,1600.0,2500.0,1.5e-05
950.0,900.0,1000.0,75.0,50.0,100.0,0.0
950.0,900.0,1000.0,125.0,100.0,150.0,0.0
950.0,900.0,1000.0,175.0,150.0,200.0,0.0
950.0,900.0,1000.0,225.0,200.0,250.0,-1e-06
950.0,900.0,1000.0,275.0,250.0,300.0,-1.3e-05
950.0,900.0,1000.0,325.0,300.0,350.0,4e-06
950.0,900.0,1000.0,375.0,350.0,400.0,-4.4e-05
950.0,900.0,1000.0,425.0,400.0,450.0,3.5e-05
950.0,900.0,1000.0,475.0,450.0,500.0,1.4e-05
950.0,900.0,1000.0,525.0,500.0,550.0,0.000338
950.0,900.0,1000.0,575.0,550.0,600.0,0.000572
950.0,900.0,1000.0,625.0,600.0,650.0,-0.00221
950.0,900.0,1000.0,675.0,650.0,700.0,-0.024018
950.0,900.0,1000.0,750.0,700.0,800.0,-0.083751
950.0,900.0,1000.0,850.0,800.0,900.0,0.162487
950.0,900.0,1000.0,950.0,900.0,1000.0,1.0
950.0,900.0,1000.0,1050.0,1000.0,1100.0,0.212934
950.0,900.0,1000.0,1150.0,1100.0,1200.0,-0.091317
950.0,900.0,1000.0,1300.0,1200.0,1400.0,-0.020132
950.0,900.0,1000.0,1500.0,1400.0,1600.0,0.000464
950.0,900.0,1000.0,2050.0,1600.0,2500.0,0.000147
1050.0,1000.0,1100.0,75.0,50.0,100.0,0.0
1050.0,1000.0,1100.0,125.0,100.0,150.0,0.0
1050.0,1000.0,1100.0,175.0,150.0,200.0,0.0
1050.0,1000.0,1100.0,225.0,200.0,250.0,-5e-06
1050.0,1000.0,1100.0,275.0,250.0,300.0,-2e-06
1050.0,1000.0,1100.0,325.0,300.0,350.0,-4e-06
1050.0,1000.0,1100.0,375.0,350.0,400.0,-1.7e-05
1050.0,1000.0,1100.0,425.0,400.0,450.0,-7e-06
1050.0,1000.0,1100.0,475.0,450.0,500.0,-2e-06
1050.0,1000.0,1100.0,525.0,500.0,550.0,5.8e-05
1050.0,1000.0,1100.0,575.0,550.0,600.0,0.000185
1050.0,1000.0,1100.0,625.0,600.0,650.0,0.000546
1050.0,1000.0,1100.0,675.0,650.0,700.0,0.000336
1050.0,1000.0,1100.0,750.0,700.0,800.0,-0.018405
1050.0,1000.0,1100.0,850.0,800.0,900.0,-0.090118
1050.0,1000.0,1100.0,950.0,900.0,1000.0,0.212934
1050.0,1000.0,1100.0,1050.0,1000.0,1100.0,1.0
1050.0,1000.0,1100.0,1150.0,1100.0,1200.0,0.235996
1050.0,1000.0,1100.0,1300.0,1200.0,1400.0,-0.080766
1050.0,1000.0,1100.0,1500.0,1400.0,1600.0,-0.010212
1050.0,1000.0,1100.0,2050.0,1600.0,2500.0,0.000579
1150.0,1100.0,1200.0,75.0,50.0,100.0,0.0
1150.0,1100.0,1200.0,125.0,100.0,150.0,-0.0
1150.0,1100.0,1200.0,175.0,150.0,200.0,-3e-06
1150.0,1100.0,1200.0,225.0,200.0,250.0,-1.6e-05
1150.0,1100.0,1200.0,275.0,250.0,300.0,-3e-06
