player,coalition_without,v_without,v_with,delta_v,is_outlier
s,ubar|d|u|c,0.02791289,0.04516487,0.01725198,0
dbar,sbar|g|d|u|c,0.02656185,0.04380299,0.01724114,0
s,cbar|g|d,0.02360714,0.04080950,0.01720236,0
ubar,cbar|sbar|dbar|g|d|u,0.03718981,0.05439164,0.01720183,0
u,sbar|ubar|dbar|c,0.01762919,0.03477514,0.01714595,0
s,cbar|ubar|dbar|d|u,0.03312934,0.05025635,0.01712701,0
d,cbar|sbar|ubar|u|c,0.02127953,0.03839971,0.01712018,0
u,sbar|dbar|d|c,0.01715256,0.03425904,0.01710648,0
dbar,sbar|ubar|g|u|c,0.02691853,0.04397676,0.01705823,0
d,ubar|u|c,0.01089449,0.02791289,0.01701840,0
s,ubar|dbar|g|d|u,0.03787231,0.05485515,0.01698284,0
s,cbar|sbar|ubar|dbar|d|c,0.03614185,0.05309372,0.01695186,0
d,cbar|sbar|g|u|s,0.02128979,0.03823399,0.01694421,0
ubar,sbar|dbar|g|d|u|s|c,0.04962091,0.06653275,0.01691185,0
ubar,cbar|dbar|s,0.00512831,0.02202168,0.01689337,0
d,sbar|g|s|c,0.01233106,0.02920033,0.01686927,0
d,g|u|s,0.01122939,0.02805817,0.01682878,0
s,sbar|ubar|dbar|g|d|c,0.04160195,0.05841161,0.01680967,0
dbar,sbar|g|c,0.01017429,0.02694845,0.01677416,0
ubar,sbar|g|d|u|c,0.02656185,0.04331275,0.01675090,0
ubar,cbar,0.00101077,0.01774702,0.01673625,0
sbar,ubar|dbar|g|u|c,0.02724622,0.04397676,0.01673054,0
d,cbar|g|c,0.00472045,0.02143320,0.01671275,0
g,cbar|sbar|ubar|dbar|d|u|s|c,0.05829616,0.07499249,0.01669633,0
s,cbar|sbar|ubar|dbar|g|d|u|c,0.05831236,0.07499249,0.01668013,0
d,cbar|dbar|s,0.00512831,0.02177629,0.01664798,0
sbar,cbar|dbar|u|s|c,0.01993055,0.03656288,0.01663232,0
u,cbar|sbar|dbar|g|s,0.02094114,0.03753312,0.01659198,0
dbar,u|c,0.00992913,0.02651612,0.01658699,0
g,cbar|sbar|ubar|dbar|d|u|s,0.05551662,0.07203143,0.01651481,0
dbar,cbar|ubar|g|d|s,0.08625664,0.06977152,-0.01648512,0
u,sbar|g|c,0.01017429,0.02663913,0.01646483,0
dbar,sbar|d|u|c,0.01780194,0.03425904,0.01645710,0
ubar,s|c,0.00236426,0.01882098,0.01645672,0
sbar,dbar|g|d|u|c,0.02734679,0.04380299,0.01645620,0
d,sbar|ubar|g|u|c,0.02691853,0.04331275,0.01639422,0
s,sbar|ubar|d|u,0.02912690,0.04552055,0.01639365,0
d,sbar|ubar|dbar|u|s,0.03103514,0.04737823,0.01634310,0
ubar,dbar|d|c,0.00840896,0.02472943,0.01632046,0
sbar,cbar|dbar|u,0.01555574,0.03186767,0.01631193,0
s,ubar|dbar|d|c,0.02472943,0.04103177,0.01630235,0
dbar,sbar|ubar|u|c,0.01849918,0.03477514,0.01627596,0
u,cbar|dbar|g|c,0.01088818,0.02715918,0.01627099,0
s,cbar|g|d|c,0.02143320,0.03767732,0.01624412,0
dbar,cbar|sbar|g|u|s,0.02128979,0.03753312,0.01624334,0
ubar,cbar|sbar|dbar|g|s,0.02094114,0.03717770,0.01623656,0
